3236,11794
12794,10363
5008,15584
12233,13824
607,136
15380,12371
12264,6386
1338,10078
7202,9923
3781,2169
14768,12211
14471,3623
3657,11006
14893,15038
8125,10329
12621,10675
13440,6218
9511,15689
6978,15763
12477,11141
12384,7331
4563,16352
13997,13505
13556,15805
5769,13799
2349,2487
4853,13356
11729,8008
12556,1389
11523,7168
13629,13597
487,52
8821,4104
14800,9254
13629,14852
10784,9342
11383,9926
12529,7598
4171,10360
5181,10231
3095,136
1866,5468
7047,13033
5612,15218
4541,4246
2480,6388
14364,3253
10328,5828
11366,13640
9919,10283
13336,2945
11386,14690
15642,12513
13640,6246
7573,10910
14744,15737
1804,7197
6063,15517
14128,11156
14079,2473
10444,4552
853,9518
6405,11133
12832,11123
2683,5981
2885,2293
5626,15293
10316,1662
7933,8435
12999,8538
13778,4834
9899,6440
2209,7856
13022,14528
10117,14758
6582,6718
975,5323
6847,2695
12363,225
3909,8193
10496,3229
8831,12630
13258,5233
15134,9599
9097,16026
9448,2790
5843,8239
12359,10120
14819,6293
1021,9823
14457,1096
8930,12732
64,7399
1794,9575
12337,14515
748,9589
3623,12372
15898,883
885,7421
5232,3255
5447,10596
6943,9169
6451,10706
2247,15231
9101,2428
11208,11074
2159,149
15539,13459
8082,3714
10062,5746
7354,6895
1773,14833
3546,4196
10905,6503
12515,1075
6429,12946
5613,5669
15104,10076
2123,6570
4242,5369
9995,10300
15555,10705
7866,5896
15773,10653
7400,9306
1572,5229
5675,9727
14324,3528
9157,9970
16315,13152
12701,10956
3541,2252
3211,15355
15189,12004
6309,1553
16369,9907
7258,14235
6899,9100
12651,6076
15549,2978
13210,9963
14980,4731
13115,2301
12314,2666
10332,4033
3592,1193
5933,15778
9059,12843
13533,12564
7321,723
11667,12058
4887,9432
12290,16016
15594,4752
11014,15252
13119,5557
3099,9641
3061,3297
3958,865
14204,10661
3994,140
1040,2713
9018,15862
1435,8379
1542,12814
7356,7925
11712,1189
220,11298
14308,7213
7740,12472
4823,7504
8206,16092
16143,2223
11486,1302
16188,9808
1278,5649
5958,1928
1139,13847
14109,11650
13523,14902
14504,3051
9571,12277
9751,2741
14279,15442
1445,13771
692,1948
16130,14046
13796,3859
15142,5506
10390,2230
5066,13587
11649,10928
4795,12296
2985,4127
16106,6923
7238,15094
8837,14536
4274,6179
11596,7991
2948,5225
13125,1849
452,14641
10888,1085
3037,3923
1858,9923
5746,12955
13719,16250
2041,6165
12568,3369
14907,13309
7557,15788
6556,11753
5278,14447
6941,11000
10065,11294
13577,4133
13511,4306
684,11944
16024,13392
15224,9427
9787,3210
5572,7291
14312,11760
11712,6348
1419,13754
9057,1114
12044,14489
732,12870
11308,9581
13587,6110
6910,14137
5094,2862
5122,10458
9627,2043
11119,4076
8363,96
15664,14184
8841,12642
13905,5532
2258,16257
734,15098
15794,944
4733,5545
3624,12744
7411,5859
14663,3015
10200,2209
13412,8769
7601,7646
6581,1184
2578,4274
12990,9266
5764,14277
6341,14035
7191,2530
8328,3112
16006,6389
16138,8431
7327,472
2078,11264
16214,725
11984,4378
50,5347
8890,16182
2719,10834
7064,5186
3812,6576
2678,15326
3420,5361
1777,9584
4536,2013
11235,6541
2969,7644
15241,7260
9597,6945
1994,11210
5970,853
5288,1448
1560,4619
3675,9768
2046,12892
468,8647
2958,3839
1227,3025
10393,14006
15361,12391
5780,3670
1662,1532
12465,10788
13519,9430
10405,5813
6349,2942
4524,1883
2699,6858
10385,8069
1245,12568
5499,15966
8550,2643
4487,5221
10173,3520
9191,7539
9765,1684
5616,6398
6039,3814
9698,3297
10736,15082
1724,10705
8087,139
543,6234
11011,7914
2665,1289
13867,12678
4236,15354
7113,8030
3835,4771
12910,2687
4933,2366
12443,2560
8744,11956
5305,2765
10793,11704
4446,15308
9853,1174
16098,3674
3621,11119
946,11167
6937,3667
12411,9193
4547,6436
620,14635
11894,11983
1134,13701
3182,4240
1856,14151
8236,16374
8574,10031
10254,7550
12860,4026
3564,2429
132,24
4225,12027
10451,6400
13120,15548
9843,199
15292,2760
2371,7168
2810,13317
9110,12816
5504,10470
5348,12146
8317,1470
6924,13294
12535,9754
86,8653
9629,9534
8923,4129
4725,15312
8314,10349
15587,7041
3152,5663
3666,14269
11250,4891
14512,13482
9159,13324
16230,5139
8834,5684
10575,8812
14380,15741
8525,7375
